type_a,type_b,impact_a,impact_b,flow_after,joint_impact,synergy
GNG642,SApp14,16,32,10599,48,0
GNG642,SNpp07,16,32,10599,48,0
SNxx11,SNpp35,29,19,10599,48,0
SNxx11,LgAG5,29,19,10599,48,0
SNxx11,LgAG7,29,19,10599,48,0
SNxx11,ORN_DL2d,29,19,10599,48,0
SNxx11,JO-B1_a,29,19,10599,48,0
SNxx11,SNta13,29,19,10599,48,0
ORN_DC4,SNpp35,29,19,10599,48,0
ORN_DC4,LgAG5,29,19,10599,48,0
ORN_DC4,LgAG7,29,19,10599,48,0
ORN_DC4,ORN_DL2d,29,19,10599,48,0
ORN_DC4,JO-B1_a,29,19,10599,48,0
ORN_DC4,SNta13,29,19,10599,48,0
ORN_DM2,"SApp11,SApp18",13,35,10599,48,0
SApp23,SNxx17,27,21,10599,48,0
SApp23,ORN_DL2v,27,21,10599,48,0
GNG654,PhG1c,14,34,10599,48,0
SNpp47,LB4a,39,9,10599,48,0
SNpp47,PhG3,39,9,10599,48,0
SNpp47,SApp21,39,9,10599,48,0
SNpp47,LgAG6,39,9,10599,48,0
SNpp47,tpn MN,39,9,10599,48,0
SNpp47,JO-B4_a,39,9,10599,48,0
TRN_VP2,JO-CL,18,30,10599,48,0
TRN_VP2,SNpp41,18,30,10599,48,0
aPhM2b,JO-CL,18,30,10599,48,0
aPhM2b,SNpp41,18,30,10599,48,0
LB1c,SNpp35,29,19,10599,48,0
LB1c,LgAG7,29,19,10599,48,0
LB1c,ORN_DL2d,29,19,10599,48,0
LB1c,JO-B1_a,29,19,10599,48,0
LB1c,SNta13,29,19,10599,48,0
JO-CL,ORN_VC1,30,18,10599,48,0
JO-CL,ORN_VM7d,30,18,10599,48,0
JO-CL,LgAG2,30,18,10599,48,0
JO-CL,DNx01,30,18,10599,48,0
LgAG9,SNta31,15,33,10599,48,0
ORN_VL2p,SNxx17,27,21,10599,48,0
ORN_VL2p,ORN_DL2v,27,21,10599,48,0
ORN_DL5,ORN_VA6,20,28,10599,48,0
ORN_DL5,ENS4,20,28,10599,48,0
ORN_DL5,SNta26,20,28,10599,48,0
ENS3,SNxx14,12,36,10599,48,0
ENS3,SNch10,12,36,10599,48,0
ENS3,SNta18,12,36,10599,48,0
SNpp43,LgLG7,41,7,10599,48,0
SNpp43,DNg83,41,7,10599,48,0
SNpp43,ORN_DL3,41,7,10599,48,0
SNpp43,ORN_DM3,41,7,10599,48,0
PhG1c,HRN_VP5,34,14,10599,48,0
PhG1c,LB4b,34,14,10599,48,0
PhG1c,SNxx24,34,14,10599,48,0
PhG1c,ORN_VC5,34,14,10599,48,0
PhG1c,SNpp06,34,14,10599,48,0
PhG1c,BM_MaPa,34,14,10599,48,0
PhG1c,PhG14,34,14,10599,48,0
PhG1c,SNpp56,34,14,10599,48,0
PhG1c,JO-B2,34,14,10599,48,0
PhG1c,JO-B1_c,34,14,10599,48,0
SNpp41,ORN_VC1,30,18,10599,48,0
SNpp41,ORN_VM7d,30,18,10599,48,0
SNpp41,LgAG2,30,18,10599,48,0
SNpp41,DNx01,30,18,10599,48,0
JO-ED1,ORN_VA1v,31,17,10599,48,0
JO-ED1,JO-A1,31,17,10599,48,0
JO-ED1,SNpp05,31,17,10599,48,0
JO-ED1,SNxx28,31,17,10599,48,0
JO-ED1,ORN_VM5v,31,17,10599,48,0
JO-ED1,SNpp31,31,17,10599,48,0
JO-ED1,SNpp17,31,17,10599,48,0
JO-ED1,SNpp01,31,17,10599,48,0
SNxx25,HRN_VP1l,38,10,10599,48,0
SNxx25,PhG6,38,10,10599,48,0
SNxx25,LN-DN1,38,10,10599,48,0
SNxx25,ORN_DM4,38,10,10599,48,0
SNxx25,ORN_DM6,38,10,10599,48,0
SNxx25,ORN_VA3,38,10,10599,48,0
SNpp35,"SNpp29,SNpp63",19,29,10599,48,0
WG2,ORN_VA6,20,28,10599,48,0
WG2,ENS4,20,28,10599,48,0
WG2,SNta26,20,28,10599,48,0
LgAG3,ORN_VA6,20,28,10599,48,0
LgAG3,ENS4,20,28,10599,48,0
LgAG3,SNta26,20,28,10599,48,0
"SApp11,SApp18",DNg20,35,13,10599,48,0
"SApp11,SApp18",SNxx06,35,13,10599,48,0
"SApp11,SApp18",SNpp15,35,13,10599,48,0
"SApp11,SApp18",ORN_DA2,35,13,10599,48,0
"SApp11,SApp18",PhG16,35,13,10599,48,0
"SApp11,SApp18",SNpp18,35,13,10599,48,0
"SApp11,SApp18",LgAG8,35,13,10599,48,0
SNxx14,ORN_VM4,36,12,10599,48,0
SNxx14,ENS1,36,12,10599,48,0
SNxx14,PhG13,36,12,10599,48,0
SNxx14,ORN_DC2,36,12,10599,48,0
SNxx14,SNpp37,36,12,10599,48,0
SNxx14,ORN_VC4,36,12,10599,48,0
SNxx14,b2 MN,36,12,10599,48,0
SNxx17,SNta33,21,27,10599,48,0
ORN_V,SApp14,16,32,10599,48,0
ORN_V,SNpp07,16,32,10599,48,0
ORN_VA1v,SApp13,17,31,10599,48,0
JO-A1,SApp13,17,31,10599,48,0
SNch10,ORN_VM4,36,12,10599,48,0
SNch10,ENS1,36,12,10599,48,0
SNch10,PhG13,36,12,10599,48,0
SNch10,ORN_DC2,36,12,10599,48,0
SNch10,SNpp37,36,12,10599,48,0
SNch10,ORN_VC4,36,12,10599,48,0
SNch10,b2 MN,36,12,10599,48,0
SNxx26,ORN_D,25,23,10599,48,0
ORN_VA2,ORN_D,25,23,10599,48,0
LgAG5,"SNpp29,SNpp63",19,29,10599,48,0
LgAG5,"SNta04,SNta11",19,29,10599,48,0
SNpp10,SNpp62,26,22,10599,48,0
SNpp10,SNpp58,26,22,10599,48,0
SNpp10,SNxx19,26,22,10599,48,0
SNpp10,SNxx21,26,22,10599,48,0
SNpp10,JO-B3,26,22,10599,48,0
PhG1b,ORN_VA6,20,28,10599,48,0
PhG1b,ENS4,20,28,10599,48,0
PhG1b,SNta26,20,28,10599,48,0
ORN_VA6,BM_vOcci_vPoOr,28,20,10599,48,0
ORN_VA6,LB1e,28,20,10599,48,0
ORN_VA6,SNxx30,28,20,10599,48,0
SNpp62,SApp01,22,26,10599,48,0
PhG10,SApp14,16,32,10599,48,0
PhG10,SNpp07,16,32,10599,48,0
SApp01,SNpp58,26,22,10599,48,0
SApp01,SNxx19,26,22,10599,48,0
SApp01,SNxx21,26,22,10599,48,0
SApp01,JO-B3,26,22,10599,48,0
LgAG7,"SNpp29,SNpp63",19,29,10599,48,0
LgAG7,"SNta04,SNta11",19,29,10599,48,0
ORN_DL2v,SNta33,21,27,10599,48,0
"SNpp29,SNpp63",ORN_DL2d,29,19,10599,48,0
"SNpp29,SNpp63",JO-B1_a,29,19,10599,48,0
BM_vOcci_vPoOr,ENS4,20,28,10599,48,0
BM_vOcci_vPoOr,SNta26,20,28,10599,48,0
ORN_VL1,SApp14,16,32,10599,48,0
ORN_VL1,SNpp07,16,32,10599,48,0
ORN_VM4,SNta18,12,36,10599,48,0
ORN_DL2d,"SNta04,SNta11",19,29,10599,48,0
SNpp33,LB4a,39,9,10599,48,0
SNpp33,PhG3,39,9,10599,48,0
SNpp33,SApp21,39,9,10599,48,0
SNpp33,LgAG6,39,9,10599,48,0
SNpp33,tpn MN,39,9,10599,48,0
SNpp33,JO-B4_a,39,9,10599,48,0
LB1e,ENS4,20,28,10599,48,0
LB1e,SNta26,20,28,10599,48,0
SNta18,ENS1,36,12,10599,48,0
SNta18,PhG13,36,12,10599,48,0
SNta18,ORN_DC2,36,12,10599,48,0
SNta18,SNpp37,36,12,10599,48,0
SNta18,ORN_VC4,36,12,10599,48,0
SNta18,b2 MN,36,12,10599,48,0
ORN_VA1d,SNta31,15,33,10599,48,0
SNpp57,SNta31,15,33,10599,48,0
ENS4,SNxx30,28,20,10599,48,0
SApp14,LgLG4,32,16,10599,48,0
SApp14,ORN_VM5d,32,16,10599,48,0
SApp14,SNpp11,32,16,10599,48,0
SApp14,ALBN1,32,16,10599,48,0
SApp14,ENS5,32,16,10599,48,0
SApp14,dorsal_tpGRN,32,16,10599,48,0
SApp14,JO-CA2,32,16,10599,48,0
LgLG4,SNpp07,16,32,10599,48,0
LB1b,SNta31,15,33,10599,48,0
SNxx30,SNta26,20,28,10599,48,0
SNpp07,ORN_VM5d,32,16,10599,48,0
SNpp07,SNpp11,32,16,10599,48,0
SNpp07,ALBN1,32,16,10599,48,0
SNpp07,ENS5,32,16,10599,48,0
SNpp07,dorsal_tpGRN,32,16,10599,48,0
SNpp07,JO-CA2,32,16,10599,48,0
"SNta02,SNta09",ORN_DA3,43,5,10599,48,0
SApp13,SNpp05,31,17,10599,48,0
SApp13,SNxx28,31,17,10599,48,0
SApp13,ORN_VM5v,31,17,10599,48,0
SApp13,SNpp31,31,17,10599,48,0
SApp13,SNpp17,31,17,10599,48,0
SApp13,SNpp01,31,17,10599,48,0
JO-B1_a,"SNta04,SNta11",19,29,10599,48,0
SNta13,"SNta04,SNta11",19,29,10599,48,0
SNta31,SNpp12,33,15,10599,48,0
SNta31,PhG8,33,15,10599,48,0
SNxx07,R7_unclear,32,15,10600,47,0
SNxx07,WG1,32,15,10600,47,0
SNxx07,LgAG9,32,15,10600,47,0
SNxx07,ORN_VA1d,32,15,10600,47,0
SNxx07,SNpp57,32,15,10600,47,0
SNxx07,LB1b,32,15,10600,47,0
SNxx07,SNpp12,32,15,10600,47,0
SNxx07,PhG8,32,15,10600,47,0
SNxx08,GNG643,20,27,10600,47,0
SNxx08,LB3d,20,27,10600,47,0
SNxx08,SNxx02,20,27,10600,47,0
SNxx08,BM_Hau,20,27,10600,47,0
SNxx08,JO-B4_b,20,27,10600,47,0
SNxx08,SApp23,20,27,10600,47,0
SNxx08,ORN_VL2p,20,27,10600,47,0
SNxx08,SNta33,20,27,10600,47,0
TPMN1,LgLG7,40,7,10600,47,0
TPMN1,DNg83,40,7,10600,47,0
TPMN1,ORN_DL3,40,7,10600,47,0
TPMN1,ORN_DM3,40,7,10600,47,0
R7_unclear,aPhM3,15,32,10600,47,0
R7_unclear,SApp14,15,32,10600,47,0
R7_unclear,SNpp07,15,32,10600,47,0
aPhM5,TRN_VP3a,29,18,10600,47,0
aPhM5,TRN_VP2,29,18,10600,47,0
aPhM5,aPhM2b,29,18,10600,47,0
aPhM5,ORN_VC1,29,18,10600,47,0
aPhM5,ORN_VM7d,29,18,10600,47,0
aPhM5,LgAG2,29,18,10600,47,0
aPhM5,DNx01,29,18,10600,47,0
TPMN2,JO-A3,26,21,10600,47,0
TPMN2,ORN_VM6v,26,21,10600,47,0
TPMN2,SNxx17,26,21,10600,47,0
TPMN2,ORN_DL2v,26,21,10600,47,0
R7y,JO-A2,11,36,10600,47,0
R7y,SNpp16,11,36,10600,47,0
R7y,SNxx14,11,36,10600,47,0
R7y,SNch10,11,36,10600,47,0
R7y,SNta18,11,36,10600,47,0
R7p,JO-A2,11,36,10600,47,0
R7p,SNpp16,11,36,10600,47,0
R7p,SNxx14,11,36,10600,47,0
R7p,SNch10,11,36,10600,47,0
R7p,SNta18,11,36,10600,47,0
R7d,ORN_VL2a,13,34,10600,47,0
R7d,ORN_DA1,13,34,10600,47,0
R7d,BM_Vib,13,34,10600,47,0
R7d,PhG1c,13,34,10600,47,0
LgLG6,ORN_VL2a,13,34,10600,47,0
LgLG6,ORN_DA1,13,34,10600,47,0
LgLG6,BM_Vib,13,34,10600,47,0
LgLG6,PhG1c,13,34,10600,47,0
aPhM3,WG1,32,15,10600,47,0
aPhM3,LgAG9,32,15,10600,47,0
aPhM3,ORN_VA1d,32,15,10600,47,0
aPhM3,SNpp57,32,15,10600,47,0
aPhM3,LB1b,32,15,10600,47,0
aPhM3,SNpp12,32,15,10600,47,0
aPhM3,PhG8,32,15,10600,47,0
JO-A2,R8p,36,11,10600,47,0
JO-A2,SNxx09,36,11,10600,47,0
JO-A2,LgLG2,36,11,10600,47,0
JO-A2,R8_unclear,36,11,10600,47,0
JO-A2,LB1a,36,11,10600,47,0
JO-A2,SNpp21,36,11,10600,47,0
JO-A2,ORN_VM7v,36,11,10600,47,0
JO-A2,ORN_DL1,36,11,10600,47,0
aPhM4,SNta14,19,28,10600,47,0
aPhM4,ENS2,19,28,10600,47,0
aPhM4,ORN_DP1l,19,28,10600,47,0
aPhM4,ORN_VA6,19,28,10600,47,0
aPhM4,ENS4,19,28,10600,47,0
aPhM4,SNta26,19,28,10600,47,0
JO-EV2,ORN_DA3,42,5,10600,47,0
SNxx20,R8d,44,3,10600,47,0
LgAG1,R8d,44,3,10600,47,0
LgLG1b,LgLG5,39,8,10600,47,0
LgLG1b,HBeyelet,39,8,10600,47,0
LgLG1b,PhG1a,39,8,10600,47,0
GNG643,GNG644,27,20,10600,47,0
GNG643,ORN_DL5,27,20,10600,47,0
GNG643,WG2,27,20,10600,47,0
GNG643,LgAG3,27,20,10600,47,0
GNG643,PhG1b,27,20,10600,47,0
GNG643,BM_vOcci_vPoOr,27,20,10600,47,0
GNG643,LB1e,27,20,10600,47,0
GNG643,SNxx30,27,20,10600,47,0
HRN_VP4,GNG642,31,16,10600,47,0
HRN_VP4,ORN_V,31,16,10600,47,0
HRN_VP4,PhG10,31,16,10600,47,0
HRN_VP4,ORN_VL1,31,16,10600,47,0
HRN_VP4,LgLG4,31,16,10600,47,0
HRN_VP4,ORN_VM5d,31,16,10600,47,0
HRN_VP4,SNpp11,31,16,10600,47,0
HRN_VP4,ALBN1,31,16,10600,47,0
HRN_VP4,ENS5,31,16,10600,47,0
HRN_VP4,dorsal_tpGRN,31,16,10600,47,0
HRN_VP4,JO-CA2,31,16,10600,47,0
WG3,GNG654,33,14,10600,47,0
WG3,HRN_VP5,33,14,10600,47,0
WG3,LB4b,33,14,10600,47,0
WG3,SNxx24,33,14,10600,47,0
WG3,ORN_VC5,33,14,10600,47,0
WG3,PhG4,33,14,10600,47,0
WG3,SNpp06,33,14,10600,47,0
WG3,BM_MaPa,33,14,10600,47,0
WG3,PhG14,33,14,10600,47,0
WG3,SNpp56,33,14,10600,47,0
WG3,JO-B2,33,14,10600,47,0
WG3,JO-B1_c,33,14,10600,47,0
R8p,SNpp16,11,36,10600,47,0
R8p,SNxx14,11,36,10600,47,0
R8p,SNch10,11,36,10600,47,0
R8p,SNta18,11,36,10600,47,0
aPhM1,LB3c,22,25,10600,47,0
aPhM1,SNxx26,22,25,10600,47,0
aPhM1,ORN_VA2,22,25,10600,47,0
SNxx09,SNpp16,11,36,10600,47,0
SNxx09,SNxx14,11,36,10600,47,0
SNxx09,SNch10,11,36,10600,47,0
SNxx09,SNta18,11,36,10600,47,0
ORN_VL2a,ORN_DM2,34,13,10600,47,0
ORN_VL2a,DNg20,34,13,10600,47,0
ORN_VL2a,SNxx06,34,13,10600,47,0
ORN_VL2a,SNpp15,34,13,10600,47,0
ORN_VL2a,ORN_DA2,34,13,10600,47,0
ORN_VL2a,PhG16,34,13,10600,47,0
ORN_VL2a,SNpp18,34,13,10600,47,0
ORN_VL2a,LgAG8,34,13,10600,47,0
LB3b,SNpp23,17,30,10600,47,0
LB3b,JO-CL,17,30,10600,47,0
LB3b,SNpp41,17,30,10600,47,0
SNxx15,LgLG7,40,7,10600,47,0
SNxx15,DNg83,40,7,10600,47,0
SNxx15,ORN_DL3,40,7,10600,47,0
SNxx15,ORN_DM3,40,7,10600,47,0
BM_Vt_PoOc,LB3c,22,25,10600,47,0
BM_Vt_PoOc,SNxx26,22,25,10600,47,0
BM_Vt_PoOc,ORN_VA2,22,25,10600,47,0
GNG644,LB3d,20,27,10600,47,0
GNG644,SNxx02,20,27,10600,47,0
GNG644,BM_Hau,20,27,10600,47,0
GNG644,JO-B4_b,20,27,10600,47,0
GNG644,SApp23,20,27,10600,47,0
GNG644,ORN_VL2p,20,27,10600,47,0
GNG644,SNta33,20,27,10600,47,0
R8y,claw_tpGRN,10,37,10600,47,0
LgLG5,JO-ED2_c,8,39,10600,47,0
LgLG5,SNpp47,8,39,10600,47,0
LgLG5,SNpp33,8,39,10600,47,0
JO-A3,ORN_DM1,21,26,10600,47,0
JO-A3,SNpp10,21,26,10600,47,0
JO-A3,SApp01,21,26,10600,47,0
ORN_DA1,ORN_DM2,34,13,10600,47,0
ORN_DA1,DNg20,34,13,10600,47,0
ORN_DA1,SNxx06,34,13,10600,47,0
ORN_DA1,SNpp15,34,13,10600,47,0
ORN_DA1,ORN_DA2,34,13,10600,47,0
ORN_DA1,PhG16,34,13,10600,47,0
ORN_DA1,SNpp18,34,13,10600,47,0
ORN_DA1,LgAG8,34,13,10600,47,0
SNpp23,ORN_VA1v,30,17,10600,47,0
SNpp23,JO-A1,30,17,10600,47,0
SNpp23,SNpp05,30,17,10600,47,0
SNpp23,SNxx28,30,17,10600,47,0
SNpp23,ORN_VM5v,30,17,10600,47,0
SNpp23,SNpp31,30,17,10600,47,0
SNpp23,SNpp17,30,17,10600,47,0
SNpp23,SNpp01,30,17,10600,47,0
WG1,SApp14,15,32,10600,47,0
WG1,SNpp07,15,32,10600,47,0
SNta14,LB3a,28,19,10600,47,0
SNta14,SNpp35,28,19,10600,47,0
SNta14,LgAG5,28,19,10600,47,0
SNta14,LgAG7,28,19,10600,47,0
SNta14,ORN_DL2d,28,19,10600,47,0
SNta14,JO-B1_a,28,19,10600,47,0
SNta14,SNta13,28,19,10600,47,0
claw_tpGRN,HRN_VP1l,37,10,10600,47,0
claw_tpGRN,PhG6,37,10,10600,47,0
claw_tpGRN,LN-DN1,37,10,10600,47,0
claw_tpGRN,ORN_DM4,37,10,10600,47,0
claw_tpGRN,ORN_DM6,37,10,10600,47,0
claw_tpGRN,ORN_VA3,37,10,10600,47,0
LgLG2,SNpp16,11,36,10600,47,0
LgLG2,SNxx14,11,36,10600,47,0
LgLG2,SNch10,11,36,10600,47,0
LgLG2,SNta18,11,36,10600,47,0
TRN_VP3a,SNxx11,18,29,10600,47,0
TRN_VP3a,ORN_DC4,18,29,10600,47,0
TRN_VP3a,LB1c,18,29,10600,47,0
TRN_VP3a,"SNpp29,SNpp63",18,29,10600,47,0
TRN_VP3a,"SNta04,SNta11",18,29,10600,47,0
LB3d,ORN_DL5,27,20,10600,47,0
LB3d,WG2,27,20,10600,47,0
LB3d,LgAG3,27,20,10600,47,0
LB3d,PhG1b,27,20,10600,47,0
LB3d,BM_vOcci_vPoOr,27,20,10600,47,0
LB3d,LB1e,27,20,10600,47,0
LB3d,SNxx30,27,20,10600,47,0
SNxx02,ORN_DL5,27,20,10600,47,0
SNxx02,WG2,27,20,10600,47,0
SNxx02,LgAG3,27,20,10600,47,0
SNxx02,PhG1b,27,20,10600,47,0
SNxx02,BM_vOcci_vPoOr,27,20,10600,47,0
SNxx02,LB1e,27,20,10600,47,0
SNxx02,SNxx30,27,20,10600,47,0
LgLG8,SNxx25,9,38,10600,47,0
LB3c,PhG9,25,22,10600,47,0
LB3c,ORN_DC1,25,22,10600,47,0
LB3c,SNpp62,25,22,10600,47,0
LB3c,SNpp58,25,22,10600,47,0
LB3c,SNxx19,25,22,10600,47,0
LB3c,SNxx21,25,22,10600,47,0
LB3c,JO-B3,25,22,10600,47,0
ORN_VM6v,ORN_DM1,21,26,10600,47,0
ORN_VM6v,SNpp10,21,26,10600,47,0
ORN_VM6v,SApp01,21,26,10600,47,0
ENS2,LB3a,28,19,10600,47,0
ENS2,SNpp35,28,19,10600,47,0
ENS2,LgAG5,28,19,10600,47,0
ENS2,LgAG7,28,19,10600,47,0
ENS2,ORN_DL2d,28,19,10600,47,0
ENS2,JO-B1_a,28,19,10600,47,0
ENS2,SNta13,28,19,10600,47,0
ORN_DP1l,LB3a,28,19,10600,47,0
ORN_DP1l,SNpp35,28,19,10600,47,0
ORN_DP1l,LgAG5,28,19,10600,47,0
ORN_DP1l,LgAG7,28,19,10600,47,0
ORN_DP1l,ORN_DL2d,28,19,10600,47,0
ORN_DP1l,JO-B1_a,28,19,10600,47,0
ORN_DP1l,SNta13,28,19,10600,47,0
LB3a,ORN_VA6,19,28,10600,47,0
LB3a,ENS4,19,28,10600,47,0
LB3a,SNta26,19,28,10600,47,0
SNpp16,R8_unclear,36,11,10600,47,0
SNpp16,LB1a,36,11,10600,47,0
SNpp16,SNpp21,36,11,10600,47,0
SNpp16,ORN_VM7v,36,11,10600,47,0
SNpp16,ORN_DL1,36,11,10600,47,0
TRN_VP1m,WG4,24,23,10600,47,0
TRN_VP1m,ORN_D,24,23,10600,47,0
PhG9,SNxx26,22,25,10600,47,0
PhG9,ORN_VA2,22,25,10600,47,0
BM_Hau,ORN_DL5,27,20,10600,47,0
BM_Hau,WG2,27,20,10600,47,0
BM_Hau,LgAG3,27,20,10600,47,0
BM_Hau,PhG1b,27,20,10600,47,0
BM_Hau,LB1e,27,20,10600,47,0
BM_Hau,SNxx30,27,20,10600,47,0
SNpp60,R8d,44,3,10600,47,0
ORN_DP1m,ENS3,35,12,10600,47,0
ORN_DP1m,ORN_VM4,35,12,10600,47,0
ORN_DP1m,ENS1,35,12,10600,47,0
ORN_DP1m,PhG13,35,12,10600,47,0
ORN_DP1m,ORN_DC2,35,12,10600,47,0
ORN_DP1m,SNpp37,35,12,10600,47,0
ORN_DP1m,ORN_VC4,35,12,10600,47,0
ORN_DP1m,b2 MN,35,12,10600,47,0
JO-B4_b,ORN_DL5,27,20,10600,47,0
JO-B4_b,WG2,27,20,10600,47,0
JO-B4_b,LgAG3,27,20,10600,47,0
JO-B4_b,PhG1b,27,20,10600,47,0
JO-B4_b,BM_vOcci_vPoOr,27,20,10600,47,0
JO-B4_b,LB1e,27,20,10600,47,0
JO-B4_b,SNxx30,27,20,10600,47,0
R8_unclear,SNxx14,11,36,10600,47,0
R8_unclear,SNch10,11,36,10600,47,0
R8_unclear,SNta18,11,36,10600,47,0
WG4,SNpp02,23,24,10600,47,0
ORN_DM1,SNxx17,26,21,10600,47,0
ORN_DM1,ORN_DL2v,26,21,10600,47,0
JO-ED2_c,HBeyelet,39,8,10600,47,0
JO-ED2_c,PhG1a,39,8,10600,47,0
BM_Vib,ORN_DM2,34,13,10600,47,0
BM_Vib,SNxx06,34,13,10600,47,0
BM_Vib,SNpp15,34,13,10600,47,0
BM_Vib,ORN_DA2,34,13,10600,47,0
BM_Vib,PhG16,34,13,10600,47,0
BM_Vib,SNpp18,34,13,10600,47,0
BM_Vib,LgAG8,34,13,10600,47,0
HRN_VP1d,GNG642,31,16,10600,47,0
HRN_VP1d,ORN_V,31,16,10600,47,0
HRN_VP1d,PhG10,31,16,10600,47,0
HRN_VP1d,ORN_VL1,31,16,10600,47,0
HRN_VP1d,LgLG4,31,16,10600,47,0
HRN_VP1d,ORN_VM5d,31,16,10600,47,0
HRN_VP1d,SNpp11,31,16,10600,47,0
HRN_VP1d,ALBN1,31,16,10600,47,0
HRN_VP1d,ENS5,31,16,10600,47,0
HRN_VP1d,dorsal_tpGRN,31,16,10600,47,0
HRN_VP1d,JO-CA2,31,16,10600,47,0
ORN_DC1,SNxx26,22,25,10600,47,0
ORN_DC1,ORN_VA2,22,25,10600,47,0
GNG642,JO-ED1,16,31,10600,47,0
GNG642,SApp13,16,31,10600,47,0
SNxx11,TRN_VP2,29,18,10600,47,0
SNxx11,aPhM2b,29,18,10600,47,0
SNxx11,ORN_VC1,29,18,10600,47,0
SNxx11,ORN_VM7d,29,18,10600,47,0
SNxx11,LgAG2,29,18,10600,47,0
SNxx11,DNx01,29,18,10600,47,0
ORN_DC4,TRN_VP2,29,18,10600,47,0
ORN_DC4,aPhM2b,29,18,10600,47,0
ORN_DC4,ORN_VC1,29,18,10600,47,0
ORN_DC4,ORN_VM7d,29,18,10600,47,0
ORN_DC4,LgAG2,29,18,10600,47,0
ORN_DC4,DNx01,29,18,10600,47,0
ORN_DM2,PhG1c,13,34,10600,47,0
SApp23,ORN_DL5,27,20,10600,47,0
SApp23,WG2,27,20,10600,47,0
SApp23,LgAG3,27,20,10600,47,0
SApp23,PhG1b,27,20,10600,47,0
SApp23,BM_vOcci_vPoOr,27,20,10600,47,0
SApp23,LB1e,27,20,10600,47,0
SApp23,SNxx30,27,20,10600,47,0
GNG654,SNta31,14,33,10600,47,0
SNpp47,HBeyelet,39,8,10600,47,0
SNpp47,PhG1a,39,8,10600,47,0
TRN_VP2,LB1c,18,29,10600,47,0
TRN_VP2,"SNpp29,SNpp63",18,29,10600,47,0
TRN_VP2,"SNta04,SNta11",18,29,10600,47,0
aPhM2b,LB1c,18,29,10600,47,0
aPhM2b,"SNpp29,SNpp63",18,29,10600,47,0
aPhM2b,"SNta04,SNta11",18,29,10600,47,0
LB1c,ORN_VC1,29,18,10600,47,0
LB1c,ORN_VM7d,29,18,10600,47,0
LB1c,LgAG2,29,18,10600,47,0
LB1c,DNx01,29,18,10600,47,0
JO-CL,ORN_VA1v,30,17,10600,47,0
JO-CL,JO-A1,30,17,10600,47,0
JO-CL,SNpp05,30,17,10600,47,0
JO-CL,SNxx28,30,17,10600,47,0
JO-CL,ORN_VM5v,30,17,10600,47,0
JO-CL,SNpp31,30,17,10600,47,0
JO-CL,SNpp17,30,17,10600,47,0
JO-CL,SNpp01,30,17,10600,47,0
LgAG9,SApp14,15,32,10600,47,0
LgAG9,SNpp07,15,32,10600,47,0
ORN_VL2p,ORN_DL5,27,20,10600,47,0
ORN_VL2p,WG2,27,20,10600,47,0
ORN_VL2p,LgAG3,27,20,10600,47,0
ORN_VL2p,PhG1b,27,20,10600,47,0
ORN_VL2p,BM_vOcci_vPoOr,27,20,10600,47,0
ORN_VL2p,LB1e,27,20,10600,47,0
ORN_VL2p,SNxx30,27,20,10600,47,0
ORN_DL5,SNta33,20,27,10600,47,0
ENS3,"SApp11,SApp18",12,35,10600,47,0
PhG1c,DNg20,34,13,10600,47,0
PhG1c,SNxx06,34,13,10600,47,0
PhG1c,SNpp15,34,13,10600,47,0
PhG1c,ORN_DA2,34,13,10600,47,0
PhG1c,PhG16,34,13,10600,47,0
PhG1c,SNpp18,34,13,10600,47,0
PhG1c,LgAG8,34,13,10600,47,0
SNpp41,ORN_VA1v,30,17,10600,47,0
SNpp41,JO-A1,30,17,10600,47,0
SNpp41,SNpp05,30,17,10600,47,0
SNpp41,SNxx28,30,17,10600,47,0
SNpp41,ORN_VM5v,30,17,10600,47,0
SNpp41,SNpp31,30,17,10600,47,0
SNpp41,SNpp17,30,17,10600,47,0
SNpp41,SNpp01,30,17,10600,47,0
JO-ED1,ORN_V,31,16,10600,47,0
JO-ED1,PhG10,31,16,10600,47,0
JO-ED1,ORN_VL1,31,16,10600,47,0
JO-ED1,LgLG4,31,16,10600,47,0
JO-ED1,ORN_VM5d,31,16,10600,47,0
JO-ED1,SNpp11,31,16,10600,47,0
JO-ED1,ALBN1,31,16,10600,47,0
JO-ED1,ENS5,31,16,10600,47,0
JO-ED1,dorsal_tpGRN,31,16,10600,47,0
JO-ED1,JO-CA2,31,16,10600,47,0
SNxx25,LB4a,38,9,10600,47,0
SNxx25,PhG3,38,9,10600,47,0
SNxx25,SApp21,38,9,10600,47,0
SNxx25,LgAG6,38,9,10600,47,0
SNxx25,tpn MN,38,9,10600,47,0
SNxx25,JO-B4_a,38,9,10600,47,0
SNpp35,ORN_VA6,19,28,10600,47,0
SNpp35,ENS4,19,28,10600,47,0
SNpp35,SNta26,19,28,10600,47,0
WG2,SNta33,20,27,10600,47,0
LgAG3,SNta33,20,27,10600,47,0
"SApp11,SApp18",ORN_VM4,35,12,10600,47,0
"SApp11,SApp18",ENS1,35,12,10600,47,0
"SApp11,SApp18",PhG13,35,12,10600,47,0
"SApp11,SApp18",ORN_DC2,35,12,10600,47,0
"SApp11,SApp18",SNpp37,35,12,10600,47,0
"SApp11,SApp18",ORN_VC4,35,12,10600,47,0
"SApp11,SApp18",b2 MN,35,12,10600,47,0
